Market,Cost,Impressions,CPM,Clicks,CTR,CPC,Leads Number, Budget Deviation
M1,2244.72,9717,231.0095709,659,0.067819286,3.406251897,0,2.200903053
M2,1295.3,5314,243.7523523,723,0.136055702,1.791562932,3,-0.349422401
M3,610.58,3822,159.7540555,163,0.042647828,3.745889571,1,-0.062089094
M4,3453.111573,20459,168.782031,1121,0.054792512,3.080384989,59,-0.054201158
M5,2244.878246,9753,230.1731002,440,0.045114324,5.101996014,2,-0.35417772
M6,26774.2235,60369,443.509475,2769,0.045867912,9.669275369,51,-0.009096096
M7,3613.91,10667,338.7934752,613,0.057466954,5.895448613,16,-0.014746456
M8,15885.18947,39876,398.3646673,2424,0.060788444,6.553295988,56,0.009737444
M9,3684.89,10973,335.8142714,515,0.046933382,7.155126214,9,-0.033091052
M10,840.99,10486,80.20122068,860,0.082014114,0.977895349,23,-0.234071038
M11,10160.88527,25964,391.3451422,1648,0.0634725,6.165585723,36,0.098177279
M12,4750.154445,32110,147.933804,3179,0.099003426,1.494229143,12,-0.137746516
M13,4606.404673,13226,348.284037,451,0.034099501,10.21375759,9,-0.34901008
M16,1269.28,6513,194.884078,460,0.070627975,2.759304348,0,-0.389181906
M17,2980.769424,28555,104.3869523,1830,0.06408685,1.628835751,9,-0.003087149
M18,8940.431379,31950,279.8257083,1312,0.041064163,6.814353185,41,-0.02054871
M19,7995.8,29620,269.9459824,1490,0.050303849,5.366308725,1,0.211484848
